,기간,행정구역명,주거환경,경제환경,사회환경,교육환경
1,2017,서초구,6.38,5.7,6.05,5.92
1,2017,강남구,6.57,5.56,6.22,6.1
1,2017,송파구,6.23,5.68,5.95,5.87
1,2017,강동구,6.25,5.42,5.88,5.37
1,2018,종로구,5.83,5.15,5.21,5.21
1,2018,중구,5.94,5.42,5.4,5.37
1,2018,용산구,6.53,5.41,6.02,5.65
1,2018,성동구,6.02,5.18,5.65,5.49
1,2018,광진구,6.13,5.64,5.68,5.73
1,2018,동대문구,6,5.13,5.53,5.23
1,2018,중랑구,5.98,5.29,5.52,5.3
1,2018,성북구,6.04,5.15,5.48,5.32
1,2018,강북구,6.19,5.33,5.54,5.43
1,2018,도봉구,6.32,5.6,5.56,5.39
1,2018,노원구,6.05,5.14,5.87,5.51
1,2018,은평구,6.28,5.63,5.97,5.55
1,2018,서대문구,6.02,5.27,5.46,5.33
1,2018,마포구,6.43,5.37,6.05,5.64
1,2018,양천구,6.03,5.67,5.57,5.61
1,2018,강서구,6.34,5.65,5.96,5.86
1,2018,구로구,6.39,5.39,5.7,5.43
1,2018,금천구,6.14,5.44,5.41,5.24
1,2018,영등포구,6.15,5.84,5.98,5.89
1,2018,동작구,6.34,5.68,5.72,5.69
1,2018,관악구,6.18,5.48,5.7,5.51
1,2018,서초구,6.52,5.42,6.44,6.02
1,2018,강남구,6.53,5.54,6.35,5.85
1,2018,송파구,6.63,5.5,6.31,5.68
1,2018,강동구,6.37,5.13,5.76,5.51
1,2019,종로구,6.43,5.68,5.99,5.98
1,2019,중구,6.39,5.22,5.89,5.53
1,2019,용산구,6.16,5.67,6.11,6.09
1,2019,성동구,6.47,5.42,5.92,5.84
1,2019,광진구,6.68,5.78,6.38,5.97
1,2019,동대문구,6.43,5.8,6.04,5.39
1,2019,중랑구,6.39,5.6,6.21,5.96
1,2019,성북구,5.99,5.1,5.6,5.31
1,2019,강북구,6.2,5.02,5.67,5.41
1,2019,도봉구,6.45,5.52,5.87,5.75
1,2019,노원구,6.07,5.3,5.98,5.48
1,2019,은평구,6.19,5.25,5.9,5.55
1,2019,서대문구,6.38,5.29,6.19,5.78
1,2019,마포구,6.69,5.76,6.19,6
1,2019,양천구,6.44,5.71,5.69,5.64
1,2019,강서구,6.11,5.29,6.12,5.65
1,2019,구로구,6.63,5.63,6.12,5.84
1,2019,금천구,6.08,5.32,5.59,5.32
1,2019,영등포구,6.34,5.74,5.87,5.75
1,2019,동작구,6.54,5.18,6.05,5.7
1,2019,관악구,6.71,5.72,5.88,5.68
1,2019,서초구,6.65,5.69,5.91,5.76
1,2019,강남구,6.4,5.48,6.15,5.96
1,2019,송파구,6.67,5.84,6.38,6.03
1,2019,강동구,6.09,5.39,5.91,5.47
1,2020,종로구,6.1,5.19,5.76,5.67
1,2020,중구,6.43,5.52,6.01,5.51
1,2020,용산구,6.41,5.34,5.94,5.77
1,2020,성동구,6.3,5.09,5.95,5.63
1,2020,광진구,6.03,5.09,5.94,5.7
1,2020,동대문구,6.1,5.16,5.86,5.55
1,2020,중랑구,6.52,5.53,5.91,5.52
1,2020,성북구,6.45,5.23,6.06,5.6
1,2020,강북구,6.22,5.25,5.88,5.52
1,2020,도봉구,6.31,5.37,5.89,5.55
1,2020,노원구,6.41,5.35,6,5.64
1,2020,은평구,6.37,5.57,5.93,5.49
1,2020,서대문구,6.21,5.56,5.94,5.7
1,2020,마포구,6.44,5.47,6,5.58
1,2020,양천구,6.29,5.47,5.91,5.72
1,2020,강서구,6.37,5.13,6.11,5.64
1,2020,구로구,6.59,5.54,5.93,5.72
1,2020,금천구,6.32,5.15,5.83,5.67
1,2020,영등포구,6.38,5.5,6.14,5.98
1,2020,동작구,6.27,5.25,5.95,5.7
1,2020,관악구,6.16,5.24,5.81,5.63
1,2020,서초구,6.59,5.24,6.06,5.88
1,2020,강남구,6.44,5.38,6.27,5.84
1,2020,송파구,6.48,5.39,6.07,5.87
1,2020,강동구,6.57,5.74,6.23,5.97
