,p_1,p_2
3329,"[355.516, 141.437, 338.558, 172.773, 313.751, 172.813, 298.111, 217.172, 316.31, 255.035, 362.044, 171.534, 371.157, 213.197, 369.866, 245.831, 328.051, 261.557, 318.995, 317.672, 316.307, 372.479, 359.382, 258.937, 350.262, 317.685, 348.997, 369.869, 348.961, 137.544, 356.824, 134.928, 329.423, 140.186, 0, 0]","[557.803, 141.479, 578.632, 179.302, 556.485, 172.763, 548.641, 214.536, 534.326, 210.639, 599.53, 183.257, 594.365, 234.173, 569.623, 268.034, 538.198, 266.777, 527.795, 328.144, 526.539, 381.589, 569.598, 274.579, 568.307, 338.572, 563.058, 397.294, 557.73, 138.804, 561.761, 137.56, 0, 0, 580.056, 140.162]"
3330,"[356.797, 141.423, 338.552, 172.771, 313.742, 172.812, 298.107, 217.178, 316.312, 255.031, 362.038, 171.531, 371.154, 213.198, 369.863, 245.84, 328.05, 262.817, 318.995, 317.675, 316.307, 372.479, 359.382, 258.943, 350.261, 317.688, 348.997, 369.872, 348.985, 137.53, 358.09, 133.654, 329.424, 140.166, 0, 0]","[557.803, 141.488, 578.633, 179.3, 556.49, 172.762, 548.648, 214.535, 534.326, 210.638, 599.529, 183.255, 594.373, 234.172, 570.837, 266.829, 538.202, 266.778, 527.794, 328.149, 526.538, 381.588, 569.602, 274.575, 569.501, 338.585, 563.052, 398.545, 557.731, 138.817, 561.759, 138.796, 0, 0, 580.057, 140.167]"
3331,"[356.782, 140.181, 338.537, 172.77, 312.461, 172.819, 298.093, 218.461, 316.32, 256.267, 362.023, 171.522, 371.113, 213.233, 369.901, 245.842, 328.051, 262.831, 318.987, 318.929, 316.298, 372.509, 359.378, 260.223, 350.257, 318.948, 349.002, 369.889, 348.999, 134.948, 356.812, 132.373, 329.467, 140.136, 0, 0]","[557.8, 141.492, 578.629, 179.311, 556.477, 172.762, 548.644, 213.275, 534.302, 211.899, 599.534, 183.27, 593.083, 235.403, 569.612, 268.043, 538.235, 266.777, 527.804, 328.155, 526.537, 381.601, 569.612, 274.574, 568.295, 338.581, 564.326, 397.258, 557.735, 138.802, 563.01, 138.805, 0, 0, 580.071, 140.167]"
3332,"[356.797, 140.171, 338.541, 172.774, 313.719, 172.825, 298.095, 218.46, 316.32, 256.266, 362.026, 171.523, 371.115, 213.235, 369.896, 245.861, 328.049, 262.835, 318.986, 318.93, 316.298, 372.502, 359.376, 260.228, 350.258, 318.944, 349.003, 369.887, 349.007, 134.936, 356.822, 132.36, 329.471, 140.14, 0, 0]","[557.799, 141.488, 578.63, 179.316, 556.477, 172.769, 547.41, 214.526, 534.292, 211.898, 599.535, 183.269, 593.083, 235.406, 569.607, 268.044, 538.241, 266.781, 527.809, 328.156, 526.539, 381.599, 569.623, 274.575, 568.294, 338.575, 564.328, 395.989, 557.733, 138.796, 563.011, 138.802, 0, 0, 580.068, 140.167]"
3333,"[356.79, 140.172, 338.536, 172.767, 312.45, 172.817, 298.094, 218.46, 316.322, 256.266, 362.022, 171.519, 371.121, 213.24, 369.893, 245.871, 328.048, 262.838, 318.989, 318.928, 316.3, 372.502, 359.373, 260.229, 350.261, 318.937, 349.001, 369.885, 349.003, 134.935, 356.818, 132.362, 329.469, 140.135, 0, 0]","[557.798, 141.493, 578.633, 179.32, 556.478, 172.777, 548.631, 214.532, 534.308, 210.652, 599.537, 183.27, 593.082, 235.409, 569.604, 268.046, 538.244, 266.777, 527.812, 328.143, 526.543, 381.596, 570.84, 274.568, 568.287, 338.557, 564.33, 395.985, 557.732, 138.803, 563.008, 138.806, 0, 0, 580.068, 140.166]"
3334,"[356.788, 140.165, 338.544, 172.774, 313.718, 172.821, 298.091, 218.46, 316.324, 256.268, 362.036, 171.526, 371.127, 213.246, 369.892, 245.865, 328.052, 262.837, 318.991, 318.927, 316.298, 372.502, 359.383, 260.224, 350.263, 318.93, 349.002, 369.889, 349.001, 134.927, 356.823, 132.354, 329.47, 140.138, 0, 0]","[557.801, 141.501, 578.632, 179.322, 556.479, 172.779, 548.633, 214.537, 534.297, 211.909, 599.535, 183.273, 593.081, 235.409, 569.604, 268.048, 538.242, 266.78, 527.809, 328.138, 526.542, 381.597, 570.838, 274.571, 568.287, 338.58, 564.334, 395.985, 557.736, 138.819, 563.009, 138.813, 0, 0, 580.069, 140.168]"
3335,"[356.8, 140.166, 338.546, 172.776, 313.718, 172.823, 298.091, 218.463, 316.322, 256.267, 362.041, 171.527, 371.123, 213.245, 369.885, 245.867, 328.054, 262.831, 318.989, 318.92, 316.3, 372.498, 359.386, 260.215, 350.261, 318.933, 349.004, 369.896, 349.005, 134.929, 358.068, 132.348, 329.459, 140.133, 0, 0]","[557.808, 141.521, 578.623, 179.319, 556.465, 172.768, 547.404, 213.278, 534.3, 210.631, 599.536, 183.274, 594.339, 235.401, 569.605, 268.044, 538.237, 266.777, 527.808, 328.137, 526.544, 381.607, 569.62, 274.577, 568.266, 338.545, 564.33, 395.992, 557.728, 138.842, 563.017, 138.831, 0, 0, 580.075, 140.175]"
3336,"[355.513, 140.17, 338.555, 172.748, 313.724, 172.774, 298.094, 218.448, 316.32, 256.267, 362.049, 171.522, 371.137, 213.237, 369.875, 245.863, 328.056, 262.816, 318.992, 318.912, 316.298, 372.493, 359.387, 258.942, 350.261, 318.924, 349.006, 369.892, 348.981, 134.932, 356.81, 132.357, 329.455, 140.133, 0, 0]","[557.821, 141.494, 578.621, 179.313, 556.458, 172.763, 547.406, 213.27, 534.297, 210.631, 599.538, 183.271, 594.345, 235.398, 569.602, 268.044, 538.231, 266.777, 527.806, 328.138, 526.546, 381.61, 569.62, 274.575, 568.271, 338.545, 564.325, 397.25, 557.744, 138.808, 563.044, 138.81, 0, 0, 580.076, 140.167]"
3337,"[355.521, 140.173, 338.553, 172.762, 313.728, 172.799, 298.094, 218.454, 316.32, 256.261, 362.045, 171.524, 371.134, 213.23, 369.871, 245.849, 328.056, 262.816, 318.993, 318.911, 316.297, 372.496, 359.387, 258.943, 350.263, 318.923, 349.005, 369.897, 348.985, 134.938, 356.809, 132.362, 329.464, 140.144, 0, 0]","[557.819, 141.502, 578.623, 179.31, 556.459, 172.755, 547.408, 213.273, 533.017, 211.92, 599.541, 183.271, 594.349, 235.397, 569.603, 268.04, 538.235, 266.773, 527.805, 328.135, 526.541, 381.603, 569.619, 274.569, 568.265, 338.547, 564.327, 397.248, 557.744, 138.82, 563.036, 138.817, 0, 0, 580.072, 140.166]"
3338,"[355.492, 140.174, 338.552, 172.77, 313.734, 172.799, 298.095, 218.453, 316.321, 256.261, 362.043, 171.538, 371.141, 213.233, 369.853, 245.857, 328.055, 262.816, 318.995, 317.711, 316.298, 372.495, 359.383, 258.947, 350.265, 318.922, 349.006, 369.896, 348.966, 134.938, 356.796, 132.366, 329.448, 140.141, 0, 0]","[557.823, 141.498, 578.622, 179.305, 556.457, 172.75, 547.388, 213.278, 533.014, 211.909, 599.541, 183.269, 594.341, 235.403, 569.602, 268.041, 538.244, 266.768, 527.806, 328.143, 526.536, 381.603, 569.619, 274.566, 568.266, 338.554, 564.334, 397.252, 557.75, 138.813, 563.043, 138.815, 0, 0, 580.072, 140.168]"
3339,"[355.501, 140.173, 338.551, 172.769, 313.736, 172.799, 298.095, 218.45, 316.318, 256.263, 362.041, 171.536, 371.127, 213.245, 369.849, 245.859, 328.053, 262.817, 318.995, 317.711, 316.298, 372.493, 359.382, 258.944, 350.268, 318.914, 349.005, 369.894, 348.971, 134.937, 356.8, 132.362, 329.455, 140.142, 0, 0]","[557.817, 141.495, 578.625, 179.303, 556.457, 172.741, 547.406, 213.271, 533.017, 211.917, 599.545, 183.273, 594.339, 235.404, 569.598, 268.043, 538.259, 266.776, 527.799, 328.143, 526.538, 381.608, 570.84, 274.568, 568.271, 338.552, 564.335, 397.249, 557.744, 138.806, 563.035, 138.812, 0, 0, 580.077, 140.17]"
3340,"[355.497, 140.175, 338.553, 172.762, 313.739, 172.79, 298.095, 218.445, 316.317, 256.258, 362.042, 171.533, 371.123, 213.238, 369.85, 245.851, 328.052, 262.815, 318.996, 317.707, 316.298, 372.492, 359.381, 258.937, 350.267, 317.709, 349.004, 369.893, 348.969, 134.942, 356.798, 132.364, 329.454, 140.139, 0, 0]","[557.819, 141.497, 578.622, 179.308, 556.455, 172.755, 547.396, 213.275, 533.011, 211.919, 599.543, 183.271, 594.335, 235.4, 569.594, 268.045, 538.239, 266.773, 527.799, 328.134, 526.543, 381.604, 569.612, 274.564, 568.276, 338.554, 564.333, 397.259, 557.745, 138.816, 563.033, 138.811, 0, 0, 580.073, 140.167]"
3341,"[355.504, 140.165, 338.549, 172.763, 313.733, 172.796, 298.1, 218.466, 316.316, 256.265, 362.037, 171.53, 371.131, 213.24, 369.857, 245.857, 328.053, 262.816, 318.995, 317.708, 316.298, 372.492, 359.382, 258.941, 350.267, 317.71, 349.004, 369.893, 348.977, 134.93, 356.792, 132.349, 329.46, 140.139, 0, 0]","[557.818, 141.494, 578.621, 179.302, 555.218, 172.744, 547.403, 213.267, 533.018, 211.913, 599.544, 183.269, 593.082, 235.404, 569.594, 268.047, 538.231, 266.774, 527.796, 328.145, 526.539, 381.603, 569.609, 274.565, 568.28, 338.554, 564.333, 397.261, 557.746, 138.808, 563.028, 138.808, 0, 0, 580.073, 140.169]"
3342,"[355.503, 140.173, 338.546, 172.76, 313.732, 172.793, 298.102, 218.463, 316.319, 256.267, 362.03, 171.526, 371.128, 213.239, 369.864, 245.846, 328.053, 261.552, 318.995, 317.69, 316.298, 372.491, 359.38, 258.929, 350.264, 317.688, 349.002, 369.892, 348.981, 134.937, 356.787, 132.361, 329.459, 140.132, 0, 0]","[557.812, 141.492, 578.622, 179.312, 555.219, 172.75, 548.636, 213.271, 533.026, 211.903, 599.545, 183.277, 593.083, 235.412, 569.585, 268.057, 538.238, 266.768, 527.796, 328.142, 526.538, 381.602, 569.608, 274.565, 568.28, 338.564, 564.325, 397.265, 557.74, 138.8, 563.03, 138.808, 0, 0, 580.071, 140.169]"
3343,"[354.225, 140.146, 338.52, 172.772, 312.427, 172.845, 298.097, 217.185, 315.052, 255.031, 360.8, 171.507, 369.886, 213.21, 369.822, 245.849, 328.038, 264.104, 318.992, 318.931, 316.308, 372.495, 359.357, 260.251, 350.246, 318.925, 348.993, 369.874, 348.964, 133.653, 355.515, 132.334, 329.444, 140.135, 0, 0]","[557.823, 141.53, 577.404, 179.326, 555.193, 172.769, 548.631, 214.543, 533.011, 213.195, 599.538, 183.27, 594.339, 235.428, 569.564, 268.067, 538.233, 266.772, 527.807, 328.141, 526.529, 381.597, 570.847, 274.568, 569.518, 338.588, 564.321, 397.262, 557.747, 138.847, 563.045, 138.837, 0, 0, 581.284, 140.188]"
3344,"[356.787, 140.106, 338.49, 172.79, 309.87, 174.126, 298.063, 218.458, 315.058, 255.027, 360.79, 171.49, 369.894, 211.924, 369.82, 244.526, 326.801, 262.83, 318.964, 317.706, 316.316, 372.501, 359.354, 258.939, 350.241, 317.704, 349.002, 369.884, 349.02, 133.625, 355.499, 132.321, 330.72, 140.159, 0, 0]","[559.101, 142.792, 578.703, 180.63, 556.508, 172.849, 547.331, 217.174, 535.615, 256.328, 600.845, 184.539, 599.511, 235.472, 573.485, 268.113, 538.291, 268.04, 530.395, 328.12, 526.547, 381.637, 572.183, 275.863, 570.843, 338.57, 566.935, 394.674, 557.865, 140.116, 565.619, 140.093, 0, 0, 582.608, 140.207]"
3345,"[355.501, 138.862, 338.526, 171.517, 312.42, 172.745, 298.052, 215.903, 315.039, 255.019, 362.01, 171.473, 369.913, 211.924, 369.836, 244.552, 328.034, 262.825, 318.977, 317.707, 316.322, 372.472, 359.368, 258.936, 350.253, 317.69, 349.008, 369.873, 348.979, 132.361, 355.521, 131.059, 330.694, 140.143, 0, 0]","[559.121, 142.807, 578.706, 180.607, 556.524, 174.066, 547.359, 217.182, 535.631, 211.89, 600.838, 183.283, 599.52, 235.484, 573.473, 269.35, 538.279, 268.048, 530.389, 328.146, 527.741, 381.641, 572.155, 275.876, 569.624, 338.586, 566.922, 394.691, 559.066, 140.123, 565.633, 140.099, 0, 0, 582.588, 140.189]"
3346,"[356.78, 138.867, 338.533, 171.535, 312.444, 172.783, 298.05, 217.137, 315.024, 255.007, 362.015, 171.476, 369.901, 211.929, 369.84, 244.574, 326.819, 262.84, 318.971, 317.704, 316.323, 372.483, 359.364, 258.956, 350.255, 317.7, 349.017, 369.879, 349.011, 132.362, 355.508, 131.062, 330.715, 140.156, 0, 0]","[559.11, 142.801, 578.709, 180.609, 556.522, 172.85, 547.367, 218.467, 535.623, 211.926, 600.838, 183.289, 599.508, 236.714, 572.194, 269.344, 538.28, 268.047, 529.15, 329.388, 527.732, 381.656, 570.901, 275.875, 569.611, 339.8, 566.929, 394.693, 557.856, 140.122, 565.631, 140.098, 0, 0, 582.588, 140.203]"
3347,"[355.493, 138.83, 338.528, 172.731, 312.432, 172.793, 298.053, 217.147, 315.031, 255.007, 362.011, 171.483, 369.903, 211.946, 369.841, 244.603, 326.812, 262.834, 318.975, 317.701, 316.312, 372.493, 359.36, 258.946, 350.254, 317.703, 349.015, 369.88, 348.982, 132.326, 355.488, 131.041, 330.688, 140.139, 0, 0]","[559.098, 142.764, 578.705, 180.606, 556.522, 172.845, 547.4, 217.16, 535.632, 213.182, 600.831, 183.292, 598.287, 235.476, 572.19, 268.109, 538.274, 268.053, 530.393, 329.394, 526.541, 381.654, 572.144, 275.869, 569.601, 338.574, 566.929, 394.687, 557.86, 140.103, 565.618, 140.077, 0, 0, 581.352, 140.204]"
3348,"[355.508, 138.819, 338.521, 172.742, 311.16, 172.818, 298.053, 217.158, 315.032, 255.006, 362.011, 171.484, 369.908, 211.951, 369.829, 244.611, 326.808, 262.845, 318.971, 317.707, 316.315, 372.492, 359.35, 260.216, 350.252, 317.707, 349.012, 369.879, 348.991, 132.318, 354.232, 131.032, 330.696, 140.147, 0, 0]","[559.115, 141.529, 578.709, 180.614, 556.526, 174.064, 547.408, 215.882, 536.859, 211.919, 600.832, 184.505, 598.283, 235.469, 572.176, 268.115, 538.267, 268.039, 530.383, 329.404, 526.539, 381.661, 570.902, 275.864, 569.609, 338.567, 566.925, 395.959, 559.096, 140.102, 565.632, 138.853, 0, 0, 581.351, 140.197]"
3349,"[355.511, 138.817, 338.515, 172.737, 311.154, 172.811, 298.052, 217.155, 315.039, 255.015, 360.8, 171.481, 369.907, 211.947, 369.824, 244.6, 328.043, 262.853, 318.973, 318.931, 316.316, 372.506, 359.387, 258.956, 350.258, 317.709, 349.011, 369.878, 348.993, 132.315, 354.229, 131.03, 330.7, 140.147, 0, 0]","[559.096, 141.476, 578.714, 180.606, 556.528, 172.842, 547.411, 215.837, 536.888, 210.641, 600.836, 184.506, 598.276, 235.47, 572.172, 268.11, 538.254, 266.8, 530.38, 329.415, 526.537, 381.658, 572.146, 275.864, 569.604, 338.578, 566.925, 395.961, 559.106, 138.854, 565.631, 138.805, 0, 0, 581.344, 140.206]"
3350,"[355.523, 138.86, 338.514, 172.737, 311.154, 172.807, 298.053, 217.154, 315.036, 255.004, 360.796, 171.48, 369.901, 211.942, 369.82, 244.594, 328.038, 262.849, 318.976, 318.919, 316.318, 372.496, 359.374, 258.952, 350.257, 317.711, 349.01, 369.874, 349.008, 132.354, 354.23, 131.059, 330.715, 140.16, 0, 0]","[559.094, 141.462, 578.721, 180.599, 557.752, 172.823, 547.404, 214.584, 536.873, 211.89, 600.833, 184.515, 598.236, 235.462, 572.146, 268.109, 538.249, 266.798, 530.382, 329.397, 526.537, 381.65, 570.891, 275.865, 569.585, 338.577, 566.932, 394.697, 559.112, 137.574, 565.62, 137.561, 0, 0, 581.341, 140.2]"
3351,"[355.495, 140.088, 338.516, 172.736, 311.156, 172.803, 298.055, 217.151, 315.033, 255.004, 360.798, 171.48, 369.906, 211.937, 369.827, 244.611, 326.819, 262.84, 318.974, 318.916, 316.312, 372.487, 359.362, 258.948, 350.252, 317.712, 349.007, 369.874, 348.992, 133.61, 354.198, 131.073, 330.709, 140.17, 0, 0]","[559.073, 141.503, 578.724, 180.601, 557.762, 172.826, 547.406, 214.566, 536.866, 210.635, 600.834, 184.507, 598.243, 235.449, 570.905, 268.11, 538.239, 266.803, 529.147, 329.408, 526.539, 381.649, 570.896, 275.87, 569.568, 338.578, 566.927, 395.951, 559.081, 140.074, 564.327, 138.824, 0, 0, 581.333, 140.206]"
3352,"[355.485, 140.091, 338.516, 172.727, 311.154, 172.786, 298.054, 217.155, 315.025, 254.999, 360.797, 171.479, 369.911, 211.936, 369.822, 244.614, 326.816, 262.842, 318.972, 318.911, 316.309, 372.491, 359.359, 258.951, 350.251, 317.711, 349.006, 369.874, 348.988, 133.611, 354.19, 131.076, 330.706, 140.161, 0, 0]","[559.066, 142.75, 578.724, 180.603, 557.765, 172.824, 548.654, 214.554, 536.861, 211.905, 600.829, 184.512, 598.241, 235.442, 572.149, 268.092, 538.238, 266.806, 529.149, 329.401, 526.539, 381.65, 570.878, 275.865, 569.565, 338.565, 566.934, 394.695, 557.857, 140.112, 564.319, 138.864, 0, 0, 581.325, 141.399]"
3353,"[355.499, 140.091, 338.512, 172.737, 311.137, 172.805, 298.054, 217.154, 315.019, 254.984, 360.8, 171.483, 369.908, 211.948, 369.819, 244.614, 326.813, 262.849, 318.969, 318.915, 316.304, 372.497, 359.35, 260.214, 350.252, 318.913, 349.008, 369.875, 348.987, 133.616, 354.216, 131.071, 330.7, 140.17, 0, 0]","[559.061, 142.792, 578.728, 180.598, 557.776, 172.801, 548.69, 214.544, 535.644, 211.943, 600.83, 184.512, 598.234, 235.441, 572.145, 268.085, 538.246, 266.806, 530.38, 329.399, 526.542, 381.645, 570.885, 275.865, 569.57, 338.565, 566.931, 394.694, 557.837, 140.146, 563.052, 140.086, 0, 0, 581.326, 140.211]"
3354,"[355.496, 138.858, 338.512, 172.739, 311.136, 172.809, 298.053, 217.155, 315.021, 254.984, 360.802, 171.48, 369.9, 211.954, 369.827, 245.826, 326.817, 262.853, 318.972, 318.929, 316.302, 372.501, 359.357, 260.216, 350.255, 318.916, 349.008, 369.875, 348.982, 132.359, 354.222, 131.052, 330.699, 140.163, 0, 0]","[557.856, 141.534, 578.729, 180.594, 557.783, 172.796, 548.682, 214.542, 535.642, 211.922, 599.628, 184.505, 598.232, 235.442, 572.149, 268.087, 538.254, 268.043, 529.152, 329.384, 526.54, 381.65, 570.882, 275.87, 569.571, 338.56, 566.929, 394.693, 557.861, 140.102, 563.026, 138.846, 0, 0, 581.311, 140.202]"
3355,"[354.229, 138.872, 338.509, 172.741, 311.132, 172.814, 298.054, 217.153, 315.017, 254.976, 360.8, 171.48, 369.899, 211.942, 369.825, 244.602, 326.816, 262.854, 318.971, 318.925, 316.301, 372.5, 359.357, 260.214, 350.252, 318.909, 349.009, 369.873, 348.973, 132.37, 354.212, 131.063, 330.696, 140.163, 0, 0]","[557.854, 142.753, 578.729, 180.601, 557.778, 172.804, 548.668, 214.547, 536.863, 211.903, 600.828, 184.509, 598.228, 235.439, 570.901, 268.095, 538.257, 268.05, 530.383, 329.392, 526.54, 381.646, 570.884, 275.871, 569.579, 338.555, 566.928, 395.949, 557.844, 140.111, 563.027, 138.86, 0, 0, 581.313, 140.204]"
3356,"[356.82, 140.11, 338.538, 172.754, 312.441, 172.823, 298.057, 217.14, 315.029, 255.021, 362.033, 171.495, 371.124, 211.92, 369.799, 244.584, 328.036, 264.115, 318.988, 318.951, 316.301, 372.503, 359.365, 260.238, 350.25, 317.71, 349.01, 369.873, 349.031, 133.627, 356.815, 131.087, 330.707, 140.155, 0, 0]","[557.844, 141.45, 578.718, 180.58, 557.77, 172.794, 548.698, 213.256, 536.9, 210.611, 599.625, 183.279, 598.228, 235.393, 572.156, 268.091, 538.22, 266.785, 529.138, 329.445, 526.537, 381.674, 569.616, 275.846, 569.612, 338.574, 566.925, 395.96, 557.792, 137.543, 563.035, 137.537, 0, 0, 581.291, 140.205]"
3357,"[356.813, 140.114, 338.538, 172.76, 312.443, 172.834, 298.057, 217.137, 315.03, 255.025, 362.034, 171.497, 371.119, 211.918, 369.801, 244.58, 328.033, 264.117, 318.983, 318.951, 316.302, 372.501, 359.365, 260.241, 350.259, 317.708, 349.009, 369.868, 349.028, 133.633, 356.809, 132.301, 330.704, 140.158, 0, 0]","[557.84, 141.455, 578.721, 180.583, 557.773, 172.797, 548.698, 213.259, 536.901, 210.616, 599.627, 183.282, 598.225, 235.395, 572.157, 268.091, 538.229, 266.792, 529.143, 329.444, 526.542, 381.672, 570.841, 275.849, 569.599, 338.574, 566.933, 394.692, 557.797, 137.558, 563.03, 137.541, 0, 0, 581.286, 140.201]"
3358,"[356.822, 140.128, 338.542, 172.741, 312.451, 172.801, 298.063, 215.903, 315.024, 255.023, 362.033, 171.491, 371.123, 211.919, 369.807, 244.586, 326.808, 264.101, 318.969, 318.94, 316.3, 372.498, 359.348, 260.231, 350.245, 317.706, 349.011, 369.872, 349.04, 133.647, 356.813, 132.315, 330.717, 140.151, 0, 0]","[557.839, 141.458, 578.721, 180.585, 557.773, 172.799, 548.693, 213.267, 536.903, 210.614, 599.624, 183.282, 598.221, 235.406, 572.151, 268.094, 538.233, 266.796, 529.134, 329.448, 526.54, 381.674, 570.845, 275.853, 569.594, 338.565, 566.93, 394.683, 557.79, 137.547, 563.03, 137.542, 0, 0, 581.286, 140.199]"
3359,"[356.816, 140.146, 338.538, 172.747, 312.434, 172.814, 298.062, 217.141, 315.033, 255.03, 362.034, 171.491, 371.123, 211.918, 369.815, 244.597, 328.043, 264.128, 318.976, 318.964, 316.299, 372.504, 359.371, 261.521, 350.248, 318.923, 349.01, 369.879, 349.035, 134.914, 356.818, 132.334, 330.704, 140.147, 0, 0]","[557.844, 141.452, 578.721, 180.587, 557.776, 172.801, 548.693, 213.266, 536.906, 210.605, 599.622, 183.284, 598.221, 235.408, 572.153, 268.097, 538.244, 266.791, 529.128, 329.418, 526.537, 381.672, 570.855, 275.846, 569.607, 338.567, 566.924, 394.695, 557.791, 137.534, 563.04, 137.537, 0, 0, 581.288, 140.2]"
3360,"[356.82, 140.147, 338.537, 172.747, 312.433, 172.815, 298.062, 217.139, 315.024, 255.021, 362.033, 171.49, 371.12, 211.921, 369.824, 244.604, 328.041, 264.115, 318.981, 318.951, 316.298, 372.498, 359.373, 260.243, 350.251, 317.708, 349.009, 369.875, 349.041, 134.917, 356.81, 132.335, 330.712, 140.151, 0, 0]","[557.845, 141.456, 578.72, 180.59, 557.775, 172.803, 548.688, 213.27, 536.903, 210.61, 599.62, 183.288, 596.985, 235.426, 572.15, 268.098, 538.237, 266.794, 529.126, 329.416, 526.536, 381.672, 570.849, 275.848, 569.626, 338.57, 566.923, 395.955, 557.792, 137.542, 563.039, 137.541, 0, 0, 581.29, 140.2]"
3361,"[356.819, 140.103, 338.541, 172.747, 312.436, 172.812, 298.065, 215.908, 315.026, 255.026, 362.04, 171.493, 371.128, 211.925, 369.811, 244.6, 328.04, 264.119, 318.977, 318.96, 316.297, 372.499, 359.371, 260.249, 350.248, 317.711, 349.008, 369.876, 349.037, 133.621, 356.799, 131.086, 330.717, 140.153, 0, 0]","[557.854, 141.462, 578.718, 180.594, 557.772, 172.802, 548.684, 213.268, 536.911, 210.615, 599.62, 183.294, 598.228, 235.406, 572.163, 268.097, 538.243, 266.793, 529.127, 329.416, 526.539, 381.672, 570.855, 275.848, 569.627, 338.593, 566.922, 395.958, 557.818, 138.809, 563.04, 137.55, 0, 0, 581.286, 140.208]"
3362,"[356.822, 140.094, 338.549, 172.744, 312.451, 172.806, 298.065, 215.906, 315.025, 255.021, 362.051, 171.495, 371.126, 211.924, 369.813, 244.607, 328.042, 264.117, 318.979, 318.957, 315.072, 372.496, 359.372, 260.247, 350.245, 317.709, 349.007, 369.878, 349.037, 133.617, 356.804, 131.074, 330.738, 140.17, 0, 0]","[557.857, 141.457, 578.73, 180.594, 557.774, 172.803, 548.695, 213.26, 536.92, 210.633, 600.835, 184.508, 598.245, 234.171, 573.451, 268.074, 538.253, 266.799, 529.13, 329.413, 526.539, 381.664, 570.869, 275.851, 569.621, 338.585, 566.923, 395.952, 557.82, 138.803, 563.041, 137.543, 0, 0, 581.29, 140.2]"
3363,"[356.812, 140.091, 338.548, 172.746, 312.452, 172.807, 298.062, 215.897, 315.016, 255.014, 362.049, 171.495, 371.125, 211.922, 369.805, 244.604, 328.038, 264.11, 318.978, 318.954, 315.069, 372.498, 359.363, 260.24, 350.248, 317.71, 349.007, 369.883, 349.029, 133.611, 356.794, 131.075, 330.728, 140.166, 0, 0]","[557.863, 141.457, 578.73, 180.59, 557.779, 172.798, 548.699, 213.26, 536.923, 210.633, 600.832, 184.509, 598.247, 234.174, 573.464, 268.076, 538.263, 268.04, 529.132, 329.416, 526.539, 381.662, 570.864, 275.855, 569.618, 338.593, 566.924, 395.957, 557.839, 138.806, 563.05, 137.549, 0, 0, 581.281, 140.2]"
3364,"[356.795, 140.12, 338.549, 172.747, 312.456, 172.815, 298.065, 215.9, 315.021, 255.019, 362.052, 171.491, 371.129, 211.914, 369.809, 244.603, 328.036, 264.106, 318.98, 318.948, 315.071, 372.495, 359.361, 260.236, 350.247, 318.913, 349.008, 369.882, 349.024, 133.645, 355.531, 132.31, 330.728, 140.166, 0, 0]","[557.856, 141.468, 578.729, 180.59, 557.777, 172.803, 548.694, 214.529, 536.903, 211.896, 600.831, 184.505, 598.241, 235.395, 573.455, 268.083, 538.254, 268.047, 529.135, 329.421, 526.539, 381.663, 570.858, 275.868, 569.614, 338.592, 566.926, 395.955, 557.827, 138.81, 563.043, 137.557, 0, 0, 581.294, 140.195]"
3365,"[356.796, 140.131, 338.549, 172.747, 312.453, 172.815, 298.064, 215.899, 315.027, 255.027, 362.055, 171.49, 371.134, 211.916, 369.812, 244.602, 328.038, 264.109, 318.978, 318.951, 316.298, 372.499, 359.366, 260.24, 350.246, 318.916, 349.007, 369.884, 349.028, 133.653, 355.519, 132.321, 330.73, 140.157, 0, 0]","[559.069, 141.471, 578.727, 180.593, 557.761, 172.823, 548.683, 214.546, 536.897, 211.926, 600.839, 183.286, 598.247, 235.386, 573.455, 268.082, 538.276, 268.057, 529.133, 329.419, 526.541, 381.665, 570.874, 275.862, 569.612, 338.578, 566.925, 395.954, 557.847, 138.828, 564.325, 137.563, 0, 0, 581.281, 140.19]"
3366,"[356.782, 140.139, 338.554, 172.741, 312.462, 172.81, 298.071, 215.899, 315.033, 255.027, 362.056, 171.486, 371.144, 211.907, 369.807, 244.594, 328.049, 264.116, 318.982, 318.966, 315.068, 372.49, 359.377, 260.252, 350.247, 318.935, 349.006, 369.885, 349.025, 134.91, 355.493, 132.332, 330.738, 140.155, 0, 0]","[559.066, 141.455, 578.733, 180.593, 557.769, 172.823, 548.694, 214.531, 536.909, 211.901, 600.844, 183.288, 598.263, 234.179, 573.463, 268.066, 538.276, 268.056, 529.13, 329.424, 526.539, 381.664, 570.878, 275.861, 569.616, 338.565, 566.93, 394.691, 557.857, 138.807, 564.313, 137.539, 0, 0, 580.076, 140.183]"
