,p_1,p_2
20,"[420.78, 140.112, 424.661, 163.679, 401.203, 166.256, 381.587, 192.385, 369.879, 191.017, 452.077, 162.4, 465.186, 198.905, 474.294, 232.767, 412.886, 240.669, 413.005, 292.848, 420.756, 339.789, 444.237, 236.72, 454.684, 288.93, 463.83, 338.519, 414.234, 133.621, 423.408, 132.328, 411.613, 137.547, 433.848, 132.339]","[346.381, 150.648, 333.319, 177.993, 316.362, 183.183, 317.596, 226.314, 326.772, 266.776, 350.326, 171.484, 360.765, 210.639, 381.568, 234.158, 333.321, 258.947, 338.559, 308.571, 328.038, 367.267, 352.898, 255.037, 351.57, 304.603, 350.26, 339.844, 339.819, 145.387, 348.998, 146.657, 326.779, 144.061, 0, 0]"
21,"[347.625, 151.913, 330.762, 180.602, 313.756, 184.576, 315.017, 232.843, 321.556, 273.256, 350.305, 171.507, 360.704, 210.627, 380.314, 234.094, 329.458, 264.132, 337.219, 309.844, 326.804, 368.573, 352.898, 256.347, 350.339, 305.865, 350.27, 338.585, 338.592, 149.244, 348.99, 147.978, 322.867, 147.982, 0, 0]","[422.069, 140.145, 423.437, 163.697, 401.178, 166.276, 380.266, 192.357, 368.534, 188.462, 452.046, 162.399, 465.126, 200.169, 474.271, 232.802, 411.659, 241.942, 412.978, 292.863, 420.76, 338.596, 443, 236.74, 454.648, 288.924, 463.778, 338.543, 415.544, 134.911, 424.694, 132.37, 411.619, 137.543, 433.857, 132.36]"
22,"[341.182, 154.506, 330.711, 181.924, 309.853, 191.025, 308.594, 236.738, 318.955, 278.485, 350.351, 172.778, 360.737, 210.61, 380.26, 234.183, 328.153, 265.482, 330.731, 316.373, 326.764, 369.818, 352.889, 258.943, 351.604, 307.216, 350.264, 339.807, 337.19, 150.602, 346.373, 150.565, 319.016, 151.849, 0, 0]","[422.09, 140.192, 423.424, 163.699, 401.175, 166.261, 377.694, 191.079, 365.937, 187.137, 450.807, 163.634, 463.878, 200.184, 472.945, 232.842, 411.617, 241.951, 412.963, 292.871, 420.742, 339.811, 442.942, 236.742, 453.387, 288.955, 462.526, 338.567, 415.564, 136.244, 424.715, 134.922, 411.613, 138.827, 433.852, 133.661]"
23,"[422.054, 141.449, 423.412, 163.674, 401.167, 164.946, 380.284, 184.579, 368.518, 185.816, 450.775, 163.659, 462.555, 201.472, 466.454, 234.109, 411.581, 243.234, 412.925, 294.157, 419.47, 339.806, 442.889, 238.057, 453.339, 290.227, 458.609, 339.79, 415.575, 138.829, 424.66, 138.804, 411.644, 137.543, 433.829, 137.521]","[338.552, 162.341, 330.685, 192.307, 308.483, 198.886, 307.215, 251.065, 313.757, 295.445, 351.646, 183.23, 362.073, 214.53, 379.017, 244.522, 321.569, 265.411, 326.761, 317.657, 321.602, 371.141, 349.036, 257.637, 354.202, 299.419, 349.041, 337.209, 329.462, 160.976, 339.881, 157.132, 317.642, 162.367, 345.067, 154.49]"
24,"[334.642, 180.593, 329.474, 197.604, 307.259, 205.404, 305.91, 256.312, 309.881, 301.975, 355.481, 192.31, 365.942, 218.462, 380.246, 248.484, 318.928, 265.49, 319.019, 320.307, 321.554, 371.237, 347.7, 258.92, 354.221, 296.801, 350.243, 333.328, 328.122, 174.084, 338.54, 172.739, 316.351, 172.782, 342.452, 164.957]","[422.05, 141.516, 423.424, 163.69, 401.175, 164.937, 381.603, 183.249, 371.165, 187.132, 450.797, 163.686, 461.199, 202.764, 463.863, 234.152, 411.571, 243.243, 412.919, 294.155, 419.474, 339.802, 441.669, 239.342, 452.092, 290.261, 457.306, 338.595, 415.572, 140.108, 423.445, 140.088, 411.657, 138.824, 433.82, 138.818]"
25,"[335.95, 188.445, 329.417, 205.437, 305.926, 214.577, 300.695, 264.169, 308.531, 309.837, 354.226, 198.87, 369.808, 224.961, 380.252, 256.334, 317.681, 268.078, 318.938, 325.474, 321.575, 372.525, 347.652, 262.843, 355.525, 298.05, 350.286, 330.747, 329.357, 183.231, 338.557, 181.905, 316.364, 181.966, 341.154, 172.866]","[422.092, 141.529, 423.45, 163.677, 401.203, 163.669, 381.589, 183.223, 377.669, 187.134, 450.799, 164.934, 459.91, 202.841, 462.512, 235.413, 410.33, 241.974, 412.905, 292.852, 419.467, 338.587, 441.624, 239.353, 452.084, 290.251, 457.31, 338.583, 418.139, 140.124, 424.686, 140.113, 412.904, 138.83, 433.825, 138.837]"
26,"[330.753, 206.713, 328.092, 223.725, 299.412, 234.079, 298.106, 281.107, 304.588, 326.784, 351.63, 215.894, 373.776, 244.517, 380.343, 281.113, 316.328, 277.217, 319.024, 326.797, 321.584, 372.502, 343.753, 268.06, 355.512, 301.981, 350.254, 326.802, 326.791, 202.853, 337.206, 202.766, 315.026, 204.083, 339.923, 201.501]","[423.373, 142.759, 423.437, 163.684, 401.179, 163.677, 381.618, 187.149, 381.571, 204.087, 450.782, 163.689, 457.317, 202.8, 454.734, 234.164, 407.709, 241.963, 412.894, 292.846, 419.484, 339.809, 437.743, 238.069, 450.796, 290.267, 457.335, 338.584, 420.743, 140.135, 424.693, 140.113, 428.581, 138.838, 432.542, 138.83]"
27,"[423.409, 142.762, 423.441, 163.7, 401.18, 163.686, 384.218, 189.72, 389.425, 206.715, 450.806, 163.7, 456.041, 202.805, 454.727, 234.184, 407.709, 241.955, 412.891, 292.838, 420.718, 339.818, 439.011, 238.044, 450.805, 290.254, 458.616, 338.591, 420.774, 140.12, 424.699, 140.099, 429.891, 138.811, 432.525, 138.821]","[330.737, 215.883, 326.808, 234.14, 298.09, 243.262, 296.753, 292.875, 304.595, 335.949, 351.589, 226.321, 377.676, 254.944, 381.568, 296.718, 315.013, 278.524, 319, 326.802, 325.467, 376.389, 342.491, 273.258, 355.487, 300.715, 350.326, 321.597, 325.508, 213.284, 335.943, 213.173, 311.138, 214.589, 339.873, 213.202]"
28,"[423.329, 142.776, 423.443, 164.964, 401.173, 164.969, 388.116, 192.324, 390.777, 213.22, 452.047, 164.931, 456.044, 202.834, 454.744, 234.18, 407.704, 243.257, 412.885, 292.843, 420.721, 339.815, 439.022, 240.656, 450.806, 290.276, 458.619, 338.595, 419.453, 140.153, 424.674, 140.129, 415.539, 140.078, 433.799, 138.829]","[329.425, 234.158, 325.484, 240.672, 296.78, 248.479, 295.471, 300.709, 299.426, 343.776, 351.575, 234.165, 379.012, 265.431, 381.647, 307.246, 312.452, 283.709, 318.958, 326.805, 326.748, 373.787, 342.439, 275.865, 352.895, 300.695, 351.596, 319.02, 324.172, 231.504, 333.327, 226.332, 309.831, 228.928, 339.807, 224.939]"
29,"[423.395, 142.795, 423.408, 166.239, 401.127, 167.556, 392.051, 200.185, 401.152, 223.635, 450.775, 163.702, 457.292, 202.811, 455.984, 234.167, 407.705, 243.27, 412.873, 291.566, 420.717, 339.81, 439.056, 240.655, 452.053, 291.545, 458.62, 338.582, 420.762, 140.149, 424.702, 140.117, 431.165, 138.812, 432.528, 138.822]","[321.564, 257.672, 322.87, 261.53, 296.712, 270.688, 291.563, 318.952, 298.057, 365.961, 350.356, 254.956, 380.353, 288.963, 382.894, 338.51, 311.141, 290.256, 319.014, 329.363, 326.811, 375.095, 343.753, 283.721, 356.814, 317.64, 385.527, 339.942, 316.369, 255.048, 328.06, 254.951, 307.237, 253.67, 337.202, 247.199]"
