학교코드,학교명,지역,동,위도,경도,score_2nd
S010000437,서울문영여자고등학교,관악구,청룡동,37.473416,126.951081,2.91
S010000607,서울여자상업고등학교,관악구,청룡동,37.472732,126.950557,2.91
S010000499,영락고등학교,관악구,청룡동,37.476283,126.944206,2.91
S010000611,영락의료과학고등학교,관악구,청룡동,37.476564,126.944783,8.91
S010000458,서울미술고등학교,관악구,행운동,37.477056,126.966983,3.29
S010000470,성보고등학교,관악구,미성동,37.479815,126.919719,3.15
S010000484,신림고등학교,관악구,미성동,37.4783835,126.91664009999998,9.15
S010000519,인헌고등학교,관악구,인헌동,37.47230902,126.9704855,9.03
S010000374,건국대학교사범대학부속고등학교,광진구,화양동,37.5401481,127.0782556,5.6
S010000391,광남고등학교,광진구,광장동,37.54151337,127.1012125,6.21
S010000395,광양고등학교,광진구,자양2동,37.529721,127.085285,2.77
S010000411,대원고등학교,광진구,중곡4동,37.563177,127.089494,2.63
S010000412,대원여자고등학교,광진구,중곡4동,37.5624945,127.089438,2.63
S010000571,대원외국어고등학교,광진구,중곡4동,37.563653,127.089124,2.63
S010000433,동국대학교사범대학부속여자고등학교,광진구,구의1동,37.543183,127.086964,3.65
S010000626,선화예술고등학교,광진구,능동,37.549994,127.087558,2.25
S010000521,자양고등학교,광진구,자양3동,37.5357534,127.0729905,3.39
S010000383,경인고등학교,구로구,고척1동,37.49599386,126.86543059999998,9.21
S010000388,고척고등학교,구로구,고척2동,37.50804857,126.8498688,6.38
S010000398,구로고등학교,구로구,구로5동,37.49884153,126.89030929999998,3.15
S010000399,구일고등학교,구로구,구로1동,37.49441003,126.8739422,9.09
S010005501,구현고등학교,구로구,구로2동,37.50228196,126.874417,5.64
S010000582,덕일전자공업고등학교,구로구,오류2동,37.49098336,126.8387989,5.62
S010000598,유한공업고등학교,구로구,오류2동,37.488282,126.823964,2.62
S010000641,서서울생활과학고등학교,구로구,수궁동,37.50344000000001,126.827752,2.55
S010005584,서울공연예술고등학교,구로구,수궁동,37.50008507,126.8321523,5.55
S010005500,세종과학고등학교,구로구,수궁동,37.4971937,126.8253536,5.55
S010000632,예림디자인고등학교,구로구,수궁동,37.498706,126.829453,2.55
S010000508,오류고등학교,구로구,수궁동,37.500202,126.82823799999998,2.55
S010000513,우신고등학교,구로구,수궁동,37.495324,126.826705,2.55
S010005521,신도림고등학교,구로구,신도림동,37.5137691,126.8822616,3.37
S000005401,국립전통예술고등학교,금천구,시흥5동,37.446354,126.90641399999998,8.55
S010000402,금천고등학교,금천구,시흥5동,37.445022,126.905691,5.55
S010000419,독산고등학교,금천구,독산3동,37.47621836,126.9109408,6.1
S010000425,동일여자고등학교,금천구,시흥2동,37.45098,126.91627,3.13
S010000426,동일여자상업고등학교,금천구,시흥2동,37.451491,126.917384,3.13
S010000438,문일고등학교,금천구,시흥1동,37.449124,126.898969,2.91
S010000377,경동고등학교,성북구,삼선동,37.5862,127.014664,3.36
S010000556,한성여자고등학교,성북구,삼선동,37.583201,127.011775,6.36
S010000386,계성고등학교,성북구,길음1동,37.60771,127.02031,10.0
S010000387,고려대학교사범대학부속고등학교,성북구,정릉3동,37.609816,127.001571,2.13
