기간	자치구	합계	합계	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	국민기초생활보장법 수급자	국민기초생활보장법 수급자	국가보훈법 수급자	국가보훈법 수급자
기간	자치구	합계	합계	소계	소계	재가보호	재가보호	시설보호	시설보호	미보호	미보호	국민기초생활보장법 수급자	국민기초생활보장법 수급자	국가보훈법 수급자	국가보훈법 수급자
기간	자치구	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수
2013	동작구	1,294	3,434	948	2,508	948	2,508	-	-	-	-	346	926	-	-
2013	관악구	1,852	4,814	1,275	3,272	1,268	3,261	7	11	-	-	577	1,542	-	-
2013	서초구	718	1,907	551	1,444	550	1,443	1	1	-	-	167	463	-	-
2013	강남구	1,114	2,943	600	1,556	600	1,556	-	-	-	-	514	1,387	-	-
2013	송파구	1,673	4,460	1,207	3,163	1,207	3,163	-	-	-	-	466	1,297	-	-
2013	강동구	1,675	4,461	1,175	3,085	1,171	3,079	4	6	-	-	500	1,376	-	-
2014	계	40,497	106,352	27,522	71,691	27,450	71,619	72	72	-	-	12,975	34,661	-	-
2014	종로구	502	1,283	356	910	344	898	12	12	-	-	146	373	-	-
2014	중구	467	1,183	332	843	332	843	-	-	-	-	135	340	-	-
2014	용산구	682	1,693	436	1,125	429	1,118	7	7	-	-	246	568	-	-
2014	성동구	1,031	2,728	690	1,799	690	1,799	-	-	-	-	341	929	-	-
2014	광진구	1,557	4,047	1,189	3,055	1,189	3,055	-	-	-	-	368	992	-	-
2014	동대문구	1,515	3,968	984	2,528	984	2,528	-	-	-	-	531	1,440	-	-
2014	중랑구	2,792	7,459	2,229	5,893	2,225	5,889	4	4	-	-	563	1,566	-	-
2014	성북구	1,878	4,811	1,238	3,127	1,231	3,120	7	7	-	-	640	1,684	-	-
2014	강북구	2,588	6,935	1,626	4,228	1,624	4,226	2	2	-	-	962	2,707	-	-
2014	도봉구	1,990	5,253	1,469	3,848	1,463	3,842	6	6	-	-	521	1,405	-	-
2014	노원구	3,010	8,001	1,569	4,105	1,569	4,105	-	-	-	-	1,441	3,896	-	-
2014	은평구	2,545	6,751	1,807	4,748	1,806	4,747	1	1	-	-	738	2,003	-	-
2014	서대문구	1,294	3,332	926	2,353	919	2,346	7	7	-	-	368	979	-	-
2014	마포구	1,146	3,010	774	2,014	774	2,014	-	-	-	-	372	996	-	-
2014	양천구	1,800	4,776	1,377	3,641	1,377	3,641	-	-	-	-	423	1,135	-	-
2014	강서구	2,866	7,548	1,852	4,872	1,839	4,859	13	13	-	-	1,014	2,676	-	-
2014	구로구	1,460	3,666	998	2,587	991	2,580	7	7	-	-	462	1,079	-	-
2014	금천구	1,650	4,284	1,038	2,701	1,034	2,697	4	4	-	-	612	1,583	-	-
2014	영등포구	968	2,461	658	1,689	658	1,689	-	-	-	-	310	772	-	-
2014	동작구	1,297	3,414	911	2,394	911	2,394	-	-	-	-	386	1,020	-	-
2014	관악구	1,948	5,046	1,353	3,478	1,353	3,478	-	-	-	-	595	1,568	-	-
2014	서초구	772	2,050	556	1,466	556	1,466	-	-	-	-	216	584	-	-
2014	강남구	1,312	3,545	719	1,893	719	1,893	-	-	-	-	593	1,652	-	-
2014	송파구	1,761	4,678	1,279	3,341	1,279	3,341	-	-	-	-	482	1,337	-	-
2014	강동구	1,666	4,430	1,156	3,053	1,154	3,051	2	2	-	-	510	1,377	-	-
2015	계	39,912	97,114	25,152	61,256	25,059	61,163	93	93	-	-	14,760	35,858	-	-
2015	종로구	480	1,168	333	813	321	801	12	12	-	-	147	355	-	-
2015	중구	417	976	280	662	280	662	-	-	-	-	137	314	-	-
2015	용산구	728	1,657	438	1,053	430	1,045	8	8	-	-	290	604	-	-
2015	성동구	1,011	2,497	626	1,536	626	1,536	-	-	-	-	385	961	-	-
2015	광진구	1,511	3,703	1,078	2,609	1,078	2,609	-	-	-	-	433	1,094	-	-
2015	동대문구	1,515	3,646	937	2,244	935	2,242	2	2	-	-	578	1,402	-	-
2015	중랑구	2,730	6,716	1,998	4,872	1,998	4,872	-	-	-	-	732	1,844	-	-
2015	성북구	1,798	4,374	1,120	2,723	1,115	2,718	5	5	-	-	678	1,651	-	-
2015	강북구	2,568	6,220	1,487	3,603	1,487	3,603	-	-	-	-	1,081	2,617	-	-
2015	도봉구	1,978	4,898	1,304	3,216	1,300	3,212	4	4	-	-	674	1,682	-	-
2015	노원구	3,075	7,420	1,500	3,659	1,496	3,655	4	4	-	-	1,575	3,761	-	-
2015	은평구	2,622	6,453	1,690	4,124	1,690	4,124	-	-	-	-	932	2,329	-	-
2015	서대문구	1,245	2,963	864	2,063	856	2,055	8	8	-	-	381	900	-	-
2015	마포구	1,132	2,767	708	1,728	708	1,728	-	-	-	-	424	1,039	-	-
