학교명,학급수,학생수,학급당평균학생수,교원수,자치구,전입학생수,전출학생수,주거환경,경제환경,사회환경,교육환경,청소년유동인구,한부모_가구수,한부모_가구원수,저소득,중간,고소득
영파여자고등학교,38.0,891.0,23.44736842105263,78.0,송파구,5.0,0.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
일신여자상업고등학교,43.0,999.0,23.232558139534884,91.0,송파구,11.0,13.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
잠실여자고등학교,39.0,938.0,24.05128205128205,79.0,송파구,12.0,38.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
정신여자고등학교,36.0,1079.0,29.97222222222222,79.0,송파구,14.0,10.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
가재울고등학교,27.0,693.0,25.666666666666668,65.0,서대문구,28.0,19.0,6.21,5.56,5.94,5.7,20204.906997750895,"1,036","2,411",32.8,46.9,20.2
한성과학고등학교,20.0,379.0,18.95,72.0,서대문구,0.0,3.0,6.21,5.56,5.94,5.7,20204.906997750895,"1,036","2,411",32.8,46.9,20.2
명지고등학교,48.0,1435.0,29.89583333333333,101.0,서대문구,42.0,19.0,6.21,5.56,5.94,5.7,20204.906997750895,"1,036","2,411",32.8,46.9,20.2
이화여자대학교사범대학부속이화금란고등학교,36.0,1132.0,31.444444444444443,81.0,서대문구,65.0,62.0,6.21,5.56,5.94,5.7,20204.906997750895,"1,036","2,411",32.8,46.9,20.2
인창고등학교,24.0,657.0,27.375,55.0,서대문구,23.0,30.0,6.21,5.56,5.94,5.7,20204.906997750895,"1,036","2,411",32.8,46.9,20.2
중앙여자고등학교,23.0,561.0,24.39130434782609,56.0,서대문구,21.0,12.0,6.21,5.56,5.94,5.7,20204.906997750895,"1,036","2,411",32.8,46.9,20.2
한성고등학교,26.0,572.0,22.0,55.0,서대문구,30.0,8.0,6.21,5.56,5.94,5.7,20204.906997750895,"1,036","2,411",32.8,46.9,20.2
강서공업고등학교,24.0,586.0,24.416666666666668,65.0,강서구,5.0,14.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
공항고등학교,25.0,533.0,21.32,64.0,강서구,24.0,8.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
등촌고등학교,30.0,615.0,20.5,66.0,강서구,22.0,7.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
세현고등학교,27.0,603.0,22.33333333333333,60.0,강서구,21.0,23.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
수명고등학교,27.0,595.0,22.03703703703704,61.0,강서구,19.0,15.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
경복비즈니스고등학교,27.0,649.0,24.03703703703704,61.0,강서구,6.0,12.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
경복여자고등학교,24.0,718.0,29.916666666666668,52.0,강서구,6.0,13.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
대일고등학교,42.0,1115.0,26.547619047619047,84.0,강서구,10.0,18.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
덕원여자고등학교,42.0,1187.0,28.261904761904763,87.0,강서구,12.0,19.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
덕원예술고등학교,15.0,591.0,39.4,34.0,강서구,22.0,12.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
동양고등학교,23.0,483.0,21.0,50.0,강서구,5.0,6.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
마포고등학교,30.0,904.0,30.133333333333333,65.0,강서구,10.0,10.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
명덕고등학교,33.0,828.0,25.09090909090909,68.0,강서구,9.0,8.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
명덕여자고등학교,42.0,1196.0,28.476190476190474,86.0,강서구,13.0,18.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
명덕외국어고등학교,30.0,730.0,24.33333333333333,66.0,강서구,7.0,7.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
서울항공비즈니스고등학교,28.0,596.0,21.285714285714285,61.0,강서구,14.0,33.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
신정여자상업고등학교,26.0,492.0,18.923076923076923,57.0,강서구,,,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
영등포공업고등학교,19.0,400.0,21.05263157894737,49.0,강서구,6.0,45.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
영일고등학교,36.0,983.0,27.30555555555556,77.0,강서구,14.0,21.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
한광고등학교,13.0,220.0,16.923076923076923,29.0,강서구,72.0,18.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
한서고등학교,27.0,668.0,24.74074074074074,60.0,강서구,3.0,0.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
