학교명,학급수,학생수,학급당평균학생수,교원수,자치구,사설학원수,전입학생수(계),전출학생수(계),대분류,주거환경,경제환경,사회환경,교육환경
서울공연예술고등학교,21.0,782.0,37.23809523809524,38.0,구로구,394,34.0,29.0,구로구,6.59,5.54,5.93,5.72
예림디자인고등학교,18.0,369.0,20.5,38.0,구로구,394,28.0,7.0,구로구,6.59,5.54,5.93,5.72
오류고등학교,24.0,399.0,16.625,50.0,구로구,394,9.0,15.0,구로구,6.59,5.54,5.93,5.72
우신고등학교,27.0,738.0,27.333333333333332,57.0,구로구,394,22.0,1.0,구로구,6.59,5.54,5.93,5.72
유한공업고등학교,24.0,604.0,25.166666666666668,64.0,구로구,394,3.0,8.0,구로구,6.59,5.54,5.93,5.72
경일고등학교,22.0,372.0,16.90909090909091,48.0,성동구,289,7.0,6.0,성동구,6.3,5.09,5.95,5.63
금호고등학교,24.0,476.0,19.833333333333332,57.0,성동구,289,20.0,7.0,성동구,6.3,5.09,5.95,5.63
덕수고등학교,35.0,665.0,19.0,84.0,성동구,289,8.0,49.0,성동구,6.3,5.09,5.95,5.63
도선고등학교,25.0,500.0,20.0,58.0,성동구,289,8.0,5.0,성동구,6.3,5.09,5.95,5.63
무학여자고등학교,33.0,698.0,21.151515151515152,73.0,성동구,289,20.0,7.0,성동구,6.3,5.09,5.95,5.63
서울방송고등학교,21.0,524.0,24.952380952380953,66.0,성동구,289,8.0,11.0,성동구,6.3,5.09,5.95,5.63
성수고등학교,27.0,510.0,18.88888888888889,62.0,성동구,289,19.0,8.0,성동구,6.3,5.09,5.95,5.63
성수공업고등학교,23.0,372.0,16.17391304347826,62.0,성동구,289,9.0,23.0,성동구,6.3,5.09,5.95,5.63
한양대학교사범대학부속고등학교,35.0,1129.0,32.25714285714286,79.0,성동구,289,47.0,55.0,성동구,6.3,5.09,5.95,5.63
관악고등학교,30.0,692.0,23.066666666666666,64.0,영등포구,445,19.0,9.0,영등포구,6.38,5.5,6.14,5.98
