자치구,CCTV 용도,위도,경도,CCTV 수량
중랑구,방범,37.58773041,127.0974197,4
중랑구,방범,37.59289169,127.0814972,2
중랑구,방범,37.58868899,127.0922616,1
중랑구,방범,37.58528519,127.082756,3
중랑구,방범,37.60351944,127.0829697,4
중랑구,방범,37.60796356,127.0809937,2
중랑구,방범,37.58685303,127.0802307,4
중랑구,방범,37.59604019,127.1018531,4
중랑구,방범,37.60645294,127.0752106,5
중랑구,방범,37.61059147,127.0782813,1
중랑구,방범,37.58532715,127.0767365,2
중랑구,방범,37.58639866,127.0791339,3
중랑구,방범,37.61122478,127.0813521,2
중랑구,방범,37.58770008,127.0926933,3
중랑구,방범,37.58696111,127.0917277,1
중랑구,방범,37.58587646,127.0859451,4
중랑구,방범,37.5725563,127.0810648,3
중랑구,방범,37.58552556,127.096624,2
중랑구,방범,37.58555093,127.0839481,3
중랑구,방범,37.58613205,127.087616,4
중랑구,방범,37.57925479,127.0840738,3
중랑구,방범,37.5820694,127.0848236,1
중랑구,방범,37.58233985,127.0862295,1
중랑구,방범,37.60094452,127.0769501,2
중랑구,방범,37.57085189,127.0868392,4
중랑구,방범,37.58627701,127.0855637,3
중랑구,방범,37.57151298,127.0827117,2
중랑구,방범,37.58454251,127.0760875,4
중랑구,방범,37.60506439,127.0996933,4
중랑구,방범,37.61819839,127.0806885,4
중랑구,방범,37.5918826,127.0926498,3
중랑구,방범,37.60346985,127.0817795,2
중랑구,방범,37.61196518,127.075882,3
중랑구,방범,37.58396149,127.0900574,4
중랑구,방범,37.5900823,127.1008773,2
중랑구,방범,37.60666275,127.0817947,3
중랑구,방범,37.60457993,127.0900345,3
중랑구,방범,37.61057281,127.081871,3
중랑구,방범,37.6083815,127.0988815,2
중랑구,방범,37.61558342,127.0872631,2
중랑구,방범,37.61137414,127.079288,1
중랑구,방범,37.60065842,127.0837479,4
중랑구,방범,37.59171272,127.0921194,2
중랑구,방범,37.58988478,127.0760724,2
중랑구,방범,37.61473083,127.084343,3
중랑구,방범,37.57869339,127.0894699,2
중랑구,방범,37.61256027,127.0743256,4
중랑구,방범,37.61540222,127.0800629,2
중랑구,방범,37.59140097,127.0915673,4
중랑구,방범,37.61347961,127.0912247,3
중랑구,방범,37.61294937,127.0755005,2
중랑구,방범,37.58972168,127.0984955,4
중랑구,방범,37.59747521,127.0859559,1
중랑구,방범,37.5894925,127.1005182,1
중랑구,방범,37.59770203,127.0747986,3
중랑구,방범,37.58950774,127.0896188,1
중랑구,방범,37.61423367,127.075444,4
중랑구,방범,37.61488851,127.0752583,3
중랑구,방범,37.6016655,127.1059952,3
중랑구,방범,37.61642075,127.0750046,1
중랑구,방범,37.59448765,127.0732567,2
중랑구,방범,37.59441757,127.1010056,3
중랑구,방범,37.61862002,127.0841332,4
중랑구,방범,37.5905838,127.0999603,1
중랑구,방범,37.60261997,127.0747975,3
중랑구,방범,37.5935936,127.0881577,4
중랑구,방범,37.58926392,127.1012497,4
중랑구,방범,37.59060287,127.1003036,1
중랑구,방범,37.59022734,127.1004945,2
중랑구,방범,37.59014893,127.0721283,3
중랑구,방범,37.60438156,127.0781479,3
중랑구,방범,37.58967008,127.0765087,1
중랑구,방범,37.58908247,127.0809125,3
중랑구,방범,37.61518891,127.0754871,1
