구,학교명,학교코드,내부상담_실시여부,외부상담_실시여부,wee클래스_운영여부,학교폭력_예방교육_평균교육시간(1학급당),위도,경도,법정동코드,500미터내_파출소개수,500미터내_CCTV개수
은평구,예일디자인고등학교,S010000620,0,1,0,325.0,37.609594,126.915797,1138010500,1,74
은평구,예일여자고등학교,S010000506,0,0,1,109.4,37.6108146,126.9153478,1138010500,2,69
은평구,은평고등학교,S010005583,1,1,1,360.0,37.609211,126.906042,1138010500,0,37
은평구,은평메디텍고등학교,S010000515,1,1,1,395.7,37.635284,126.929185,1138011400,1,23
은평구,진관고등학교,S010005525,1,0,1,340.0,37.643662,126.924272,1138011400,1,16
은평구,충암고등학교,S010000546,1,1,1,600.0,37.584813,126.921298,1138010700,0,74
은평구,하나고등학교,S010005616,1,0,0,110.0,37.64163651,126.9369305,1138011400,0,21
종로구,경기상업고등학교,S010000603,1,1,1,682.5,37.58925,126.9697,1111010100,1,21
종로구,경복고등학교,S010000379,1,1,1,640.0,37.587418,126.971434,1111010100,2,14
종로구,경신고등학교,S010000382,1,0,1,373.4,37.592173,127.000227,1111016900,2,55
종로구,대동세무고등학교,S010000634,1,0,1,85.9,37.58158201,126.9879496,1111014800,0,19
종로구,대신고등학교,S010000409,1,1,1,457.8,37.5735255,126.9618728,1111018100,1,49
종로구,덕성여자고등학교,S010000417,1,1,1,433.3,37.57776127,126.9835578,1111014100,2,18
종로구,동성고등학교,S010000424,1,1,0,182.3,37.58497032,127.0030976,1111016900,1,64
종로구,배화여자고등학교,S010000444,1,1,1,380.0,37.57837045,126.9669116,1111011300,2,51
종로구,상명대학교사범대학부속여자고등학교,S010000450,1,1,0,754.6,37.603516,126.953837,1111018500,0,19
종로구,서울과학고등학교,S010000569,1,0,0,460.5,37.5915572,126.9984688,1111016900,3,67
종로구,서울국제고등학교,S010005494,1,1,1,401.1,37.5913416,126.9937893,1111017000,1,49
종로구,서울예술고등학교,S010000625,0,0,0,200.0,37.60575727,126.9678915,1111018300,1,11
종로구,서일문화예술고등학교,S010000644,1,1,0,139.5,37.5793799,127.0127927,1111017400,2,62
종로구,중앙고등학교,S010000533,1,1,1,94.0,37.5840273,126.9868771,1111014800,0,20
중구,대경상업고등학교,S010000633,0,1,0,291.7,37.55669583,127.0175331,1114016200,1,139
중구,리라아트고등학교,S010000656,1,1,1,400.0,37.5571299,126.9882245,1114014200,2,44
중구,서울의료보건고등학교,S010000604,1,1,0,266.7,37.55729791,126.9667217,1114017300,2,78
중구,성동고등학교,S010000469,1,1,1,133.4,37.56416247,127.0223883,1114016200,0,121
중구,성동공업고등학교,S010000591,1,1,1,820.3,37.56936387,127.0172825,1114016300,2,107
중구,성동글로벌경영고등학교,S010000617,1,1,1,483.9,37.56585408,127.0135238,1114016200,2,98
중구,이화여자고등학교,S010000516,1,1,0,480.0,37.56569982,126.9705573,1114016700,2,34
중구,이화여자외국어고등학교,S010000575,0,1,0,203.3,37.56557705,126.9696428,1114016800,2,41
중구,장충고등학교,S010000525,1,1,1,700.0,37.5526811,127.006058,1114016200,1,62
중구,한양공업고등학교,S010000601,1,1,1,900.0,37.56587232,127.0114457,1114016200,1,109
중구,환일고등학교,S010000566,1,0,0,100.0,37.55382591,126.96221,1114017400,0,116
중랑구,면목고등학교,S010000430,1,0,1,190.0,37.584781,127.096719,1126010100,1,57
중랑구,송곡고등학교,S010000475,1,1,1,188.0,37.60584697,127.1064637,1126010500,0,40
중랑구,송곡관광고등학교,S010000647,1,1,0,88.1,37.606334,127.10544,1126010500,0,38
중랑구,송곡여자고등학교,S010000476,1,1,1,350.0,37.6,127.1,1126010500,1,85
중랑구,신현고등학교,S010005204,1,1,1,150.0,37.60524932,127.09295,1126010200,0,48
중랑구,원묵고등학교,S010005364,1,1,1,140.0,37.615506,127.086204,1126010400,0,28
중랑구,이화여자대학교병설미디어고등학교,S010000650,1,1,1,200.0,37.6031306,127.1053319,1126010500,0,54
