,학교명,내부상담_실시여부,외부상담_실시여부,wee클래스_운영여부,학교폭력_예방교육_평균교육시간(1학급당),500미터내_파출소개수,500미터내_CCTV개수,cluster,학교코드,score_1st
107,금천고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5383094832734819,-0.8513610451481637,2.8086036367631926,1,S010000402,0.8
108,독산고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.715851255961265,-0.8513610451481637,1.1306614463419455,2,S010000419,0.6
109,동일여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.16930109298122695,0.5602220348902424,0.3992507479531967,0,S010000425,1
110,동일여자상업고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.10919580535255038,-0.8513610451481637,0.0765695574875722,2,S010000426,0.6
111,문일고등학교,-2.5045413298101655,-1.7764695763913763,0.548464226846274,-0.7687656666446826,0.5602220348902424,0.0765695574875722,3,S010000438,0.2
112,경동고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,1.2064735847876333,1.9718051149286486,-0.6978652996299265,0,S010000377,1
113,계성고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,-0.8794681837323591,0.5602220348902424,-0.5472807440793018,0,S010000386,1
114,고려대학교사범대학부속고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.45731692826977205,-0.8513610451481637,-0.439720347257427,2,S010000387,0.6
115,고명외식고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,-0.7959191142322259,-0.8513610451481637,-0.07401499806305255,2,S010000629,0.6
116,대일외국어고등학교,-2.5045413298101655,0.5629142279100245,-1.8232729703268034,1.292807623271104,-0.8513610451481637,-0.418208267893052,3,S010000572,0.2
117,동구마케팅고등학교,-2.5045413298101655,0.5629142279100245,0.548464226846274,0.8054380511869937,-0.8513610451481637,-0.418208267893052,3,S010000605,0.2
118,서울대학교사범대학부설고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,0.16698391175680927,0.5602220348902424,-0.3536720297999271,4,S000003561,0.4
119,서울도시과학기술고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.44779799131500425,1.9718051149286486,0.29169035113132186,0,S010000590,1
