"정보공시 
 학교코드",학교명,동
S010000646,서울항공비즈니스고등학교,방화1동
S010000647,송곡관광고등학교,망우본동
S010000649,염광여자메디텍고등학교,월계2동
S010000650,이화여자대학교병설미디어고등학교,망우본동
S010000651,서울동산고등학교,공릉2동
S010000655,화곡보건경영고등학교,발산1동
S010000656,리라아트고등학교,필동
S010000657,서울전자고등학교,방배2동
S010000658,선린인터넷고등학교,청파동
S010000659,세명컴퓨터고등학교,불광2동
S010000662,한세사이버보안고등학교,아현동
S010005181,누원고등학교,도봉2동
S010005182,방산고등학교,방이1동
S010005204,신현고등학교,상봉1동
S010005205,자운고등학교,창4동
S010005206,도봉고등학교,도봉1동
S010005208,등촌고등학교,등촌3동
S010005209,경일고등학교,성수1가1동
S010005261,선유고등학교,양평2동
S010005262,월계고등학교,월계2동
S010005263,불암고등학교,중계본동
S010005270,세현고등학교,가양3동
S010005285,신서고등학교,신정4동
S010005288,효문고등학교,쌍문1동
S010005364,원묵고등학교,묵1동
S010005365,상암고등학교,상암동
S010005494,서울국제고등학교,혜화동
S010005498,문정고등학교,문정1동
S010005500,세종과학고등학교,수궁동
S010005501,구현고등학교,구로2동
S010005518,삼각산고등학교,미아동
S010005521,신도림고등학교,신도림동
S010005522,강일고등학교,강일동
S010005523,성수고등학교,성수1가1동
S010005524,문현고등학교,장지동
S010005525,진관고등학교,진관동
S010005528,구암고등학교,성현동
S010005530,신도고등학교,진관동
S010005536,해성여자고등학교,전농2동
S010005541,미양고등학교,미아동
S010005563,선사고등학교,암사3동
S010005566,잠일고등학교,잠실2동
S010005573,휘봉고등학교,전농2동
S010005582,수명고등학교,발산1동
S010005583,은평고등학교,구산동
S010005584,서울공연예술고등학교,수궁동
S010005591,가재울고등학교,북가좌1동
S010005616,하나고등학교,진관동
S010006381,금호고등학교,금호1가동
S010006382,도선고등학교,왕십리도선동
